Username,Forum Profile,Vendor Profile,Date Registered,Last Active,Signature,Personal Text,Custom Title,Location,Posts,Karma
Shroomeister,24978,8104f71fa8,2012/06/26 21:57,2013/10/04 17:50,"~Vendor ~
http://silkroadvb5piz3r.onion/silkroad/user/8104f71fa8

BitMessage:
BM-GtLadgVamPY81NrkPbwVu2UfbckXKQpw",Purveyor of all fine things (100),N/A,U.S. Domestic,1855 (3.955 per day),+120/-36
Nevita,13223,5cfb1fd81c,2012/03/01 17:15,2013/10/06 16:59,"http://silkroadvb5piz3r.onion/silkroad/user/5cfb1fd81c
M1 + Nbome + LSD + Ketamine + MDMA
If I have seen further, it is by standing on the shoulders of giants",N/A,N/A,N/A,429 (0.732 per day),+44/-2
xl4,14036,102d38243f,2012/03/09 08:55,2013/10/02 21:36,"Listings:
http://silkroadvb5piz3r.onion/index.php/silkroad/user/102d38243f",N/A,N/A,N/A,254 (0.439 per day),+45/-13
xinhai,52846,N/A,2013/01/30 00:58,2013/10/06 02:35,"I am the national knowledge master, come to me and I will expand your 
mind...
Find me @","""SHEM HEM FORASH""",N/A,Gaia,65 (0.259 per day),+4/-4
aussieExpress,9208,d52065858c,2012/01/21 14:47,2013/09/17 12:29,Pure MDMA in AUS   -  http://silkroadvb5piz3r.onion/silkroad/user/d52065858c,N/A,N/A,N/A,39 (0.062 per day),+0/-1
delmar813,46586,N/A,2012/12/18 20:06,2013/09/08 21:15,N/A,N/A,N/A,N/A,17 (0.058 per day),+0/-0
cubesalesman7600,45415,12ad522dbf,2012/12/08 03:05,2013/10/07 19:03,"SR Profile:  http://silkroadvb5piz3r.onion/silkroad/user/12ad522dbf

Review Thread:  
http://dkn255hz262ypmii.onion/index.php?topic=92144.0#msg1355552",My speciality is mushrooms,N/A,N/A,185 (0.609 per day),+9/-5
m0rpheu5,45399,ea256f2cb6,2012/12/08 00:26,2013/09/30 18:43,"Vendor account : http://silkroadvb5piz3r.onion/silkroad/user/ea256f2cb6

Review thread : 
http://dkn255hz262ypmii.onion/index.php?topic=92987.msg666890#msg666890",Free your mind.,N/A,N/A,79 (0.260 per day),+6/-1
Limetless,15974,fa89fcfcd2,2012/03/30 16:19,2013/07/08 15:00,"Drugs/Money Laundering/Specialist Electronics/Lab Equipment/Ballistic 
Armour/
Listings - http://silkroadvb5piz3r.onion/silkroad/user/fa89fcfcd2
UC Mephedrone, Alprazolam, MDPPP, MOXY DOC, 25I-NBOMe, + 
JWH-019/073/081/122, Tramadol HCL, P2NP and Red Phosphorus
Coming soon LSD XYTAL
Gangster No 1","""Take a walk with Gangster Number 1...""",SR Vendor,Over the rainbow!,13641 (24.490 per day),+775/-604
drzheng,52697,N/A,2013/01/29 01:45,2013/10/04 00:25,xxx,N/A,N/A,China,2 (0.008 per day),+6/-3
stillinger2013,59208,N/A,2013/03/20 11:53,2013/10/05 02:55,"★ German ★ Domestic ★ Quality Supplyer ★

""The Show must go on!""",stillinGER,N/A,Germany,87 (0.431 per day),+4/-0
HighGirl,65247,68626a281d,2013/04/21 04:56,2013/09/24 01:55,"http://silkroadvb5piz3r.onion/silkroad/user/68626a281d

amelie@tormail.org",N/A,N/A,N/A,78 (0.459 per day),+5/-1
PoohBear,26843,50f0c2b391,2012/07/15 03:39,2013/01/28 04:56,http://silkroadvb5piz3r.onion/index.php/silkroad/user/50f0c2b391,N/A,N/A,N/A,111 (0.247 per day),+9/-3
CoffeeShopIT,36415,ff23c817bd/30,2012/09/29 15:55,2013/08/20 17:26,"Vendor Profile:

http://silkroadvb5piz3r.onion/silkroad/user/ff23c817bd/30",N/A,N/A,N/A,55 (0.147 per day),+0/-1
Exotica,16493,4bd75ae218,2012/04/04 17:17,2013/10/03 13:07,"Carrying:
Very High Quality #4 Afghan Heroin
8mg Triangle Dilaudid
Phenergen, Anti-Throw up pills (To put it simply)

Vendor - http://silkroadvb5piz3r.onion/silkroad/user/4bd75ae218",How May I Help You?,N/A,USA,342 (0.620 per day),+12/-8
Sugar Mama,5045,aace915f06,2011/11/01 03:42,N/A,"Need bitcoins? Need cash?

I buy and sell bitcoins in exchange for moneypaks. I buy bitcoins for 
moneypaks for no fee at market rate.

http://silkroadvb5piz3r.onion/silkroad/user/aace915f06

Review thread: 
http://dkn255hz262ypmii.onion/index.php?topic=4862.msg41033#msg41033
Torchat: wdobrjb6ezrdlec",Your Local Professional SR Bitcoin Trader,N/A,N/A,94 (0.133 per day),+12/-2
CHROOT,9210,N/A,2012/01/21 16:15,2013/10/06 14:41,vendor page: silkroadvb5piz3r.onion/silkroad/user/de34aa01d4,Keep Silk Road Strong,N/A,United States,236 (0.377 per day),+26/-7
danknugsdun,17211,1128d1fd45,2012/04/12 16:17,2013/09/21 22:04,"UK KETHEADS AND WEED SMOKERS - 
http://silkroadvb5piz3r.onion/index.php/silkroad/user/1128d1fd45
BOUGHT SOME DANK FROM ME? - 
http://dkn255hz262ypmii.onion/index.php?topic=23085.0

Tormail - danknugsdun@tormail.org",UK WEED & KET VENDOR,N/A,N/A,852 (1.566 per day),+37/-20
Fractalbliss,61385,c7be494993,2013/04/01 15:24,2013/09/30 21:30,"Tired of the same old conditioning and perceptions in life? We help people 
with perception shifts. 

Listings: http://silkroadvb5piz3r.onion/silkroad/user/c7be494993

Review Thread: http://dkn255hz262ypmii.onion/index.php?topic=143845.0

http://dkn255hz262ypmii.onion/index.php?topic=151998.0",N/A,N/A,N/A,127 (0.668 per day),+2/-0
Love,71177,885c2e06ab,2013/05/22 11:19,2013/10/01 14:25,"http://silkroadvb5piz3r.onion/silkroad/user/885c2e06ab - Love, UK based 
2C-B & 2C-E",N/A,N/A,N/A,74 (0.532 per day),+7/-4
CharlieAndMollie,40241,eefe5c7ade,2012/11/01 05:14,2013/06/21 09:20,"QUALITY IS THE NAME OF THE GAME

My SR vendor page: http://silkroadvb5piz3r.onion/silkroad/user/eefe5c7ade

My forum feedback page: 
http://dkn255hz262ypmii.onion/index.php?topic=71765.msg589967#msg589967",N/A,N/A,N/A,156 (0.457 per day),+43/-8
Righteous,46611,b0ea6121e7,2012/12/19 00:33,2013/10/04 09:42,"http://silkroadvb5piz3r.onion/silkroad/user/b0ea6121e7
""All belief systems create their own self-perpetuating system of support."" 
-Bashar",N/A,N/A,USA,57 (0.195 per day),+7/-2
Rocker,775,73377211fe,2011/06/27 04:55,2013/01/24 03:06,"http://silkroadvb5piz3r.onion/silkroad/user/73377211fe

Cars are real. Cops are real. Karma is real. And you can't fly. If you try 
to fly please start from ground level and videotape.

Explore and be free, and please play safe

Contact info in the event SR is down
rockerinc@tormail.org",Contact info: rockerinc@tormail.org,N/A,The Moon,267 (0.320 per day),+47/-8
DoctorFreedom,51868,53443ab0a7,2013/01/23 15:41,2013/10/07 20:17,"Don't overpay to greedy pharmacy corporations no more.
All the pharmacy drugs you might need at the best prices online:
http://silkroadvb5piz3r.onion/silkroad/user/53443ab0a7",Be healthy for less! ;-),N/A,N/A,68 (0.264 per day),+1/-6
MindGuru,21972,5d38ddcf8a,2012/05/29 08:18,2013/10/06 04:16,"Pakistani Gold Heroin No. 4 - SR Best

Vendor Page on SR: http://silkroadvb5piz3r.onion/silkroad/user/5d38ddcf8a

Forum Reviews: http://dkn255hz262ypmii.onion/index.php?topic=27229.0",SR Vendor,N/A,N/A,2 (0.004 per day),+9/-1
le Magnifique,63390,f1e9ec11d7,2013/04/10 18:37,2013/10/02 22:15,"VENDOR PAGE>
http://silkroadvb5piz3r.onion/silkroad/user/f1e9ec11d7

The Le MAG review 
thread>http://dkn255hz262ypmii.onion/index.php?topic=149844.0",N/A,N/A,N/A,82 (0.453 per day),+3/-3
Dopatonin,64923,7c1a47b784,2013/04/19 07:13,2013/08/21 07:30,"Vendor Profile http://silkroadvb5piz3r.onion/silkroad/user/7c1a47b784

Forum Reviews http://dkn255hz262ypmii.onion/index.php?topic=157211.new#new",New Canadian Stimulant Vendor,N/A,Oh Canada,90 (0.523 per day),+12/-9
Oz,9767,476c4dfc06,2012/01/27 12:13,2013/02/14 22:21,"----------------------OZ--------------------------
BUD - MAGIC MUSHROOMS - HASH - TRIM & MORE! WE SHIP WORLDWIDE!

Vendor Account - http://silkroadvb5piz3r.onion/silkroad/user/476c4dfc06

Official Oz Review Thread - 
http://dkn255hz262ypmii.onion/index.php?topic=13502.0",N/A,N/A,N/A,62 (0.100 per day),+0/-1
PureOBrad,17791,57537569ae,2012/04/18 06:02,N/A,http://silkroadvb5piz3r.onion/silkroad/user/57537569ae,N/A,N/A,N/A,664 (1.234 per day),+86/-88
pinnaclegreen,59768,N/A,2013/03/23 21:15,2013/10/04 09:49,N/A,N/A,N/A,N/A,0 (0 per day),+0/-0
TommyG,11029,34943721fd,2012/02/07 08:12,2013/02/27 15:10,"SR Vendor Account: http://silkroadvb5piz3r.onion/silkroad/user/34943721fd
GHB FAQ on forums: 
http://dkn255hz262ypmii.onion/index.php?topic=19569.msg197595#msg197595",N/A,N/A,N/A,41 (0.067 per day),+2/-0
XmanSR,69296,809d477874,2013/05/10 01:26,2013/09/07 00:19,"Seller page:  http://silkroadvb5piz3r.onion/silkroad/user/809d477874

Review thread:  http://dkn255hz262ypmii.onion/index.php?topic=164062.0

Alternate contact: Xmansr@tormail.org",SR Vendor,N/A,N/A,79 (0.523 per day),+3/-1
nodnow,65824,75ed63c92e,2013/04/24 12:58,N/A,"Been around to long and never have learned from the apologue  or fable 
about Danial and the lions den.

Vendor page:  http://silkroadvb5piz3r.onion/silkroad/user/75ed63c92e",Never enough Always to much.,N/A,"Citizen of the world,",91 (0.545 per day),+12/-9
BitEx,81196,3afdcf4579,2013/07/24 21:44,2013/10/05 11:22,http://silkroadvb5piz3r.onion/silkroad/user/3afdcf4579,N/A,N/A,N/A,0 (0 per day),+0/-0
jameslink2,21511,8a113f3486,2012/05/24 02:39,2013/10/02 23:02,"JamesLink Mycology website -- 
http://xqz3u5drneuzhaeo.onion/users/jameslink/index.php

The Shroomtastic Mushroom forum -- 
http://xqz3u5drneuzhaeo.onion/users/jameslink/Forums/index.php

SR Vendor Profile -- http://silkroadvb5piz3r.onion/silkroad/user/8a113f3486",The Biggest Spore Vendor on SR,N/A,Shrooms ville,628 (1.251 per day),+76/-12
Wa1ter White,75805,1da45e7ec6,2013/06/21 12:40,N/A,Vendor Page - http://silkroadvb5piz3r.onion/silkroad/user/1da45e7ec6,N/A,N/A,Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch,115 (1.055 per day),+15/-11
TheAnswer2Everything,54258,b1e263158b,2013/02/09 00:02,2013/07/13 19:51,"Vendor Profile: http://silkroadvb5piz3r.onion/silkroad/user/b1e263158b

Reviews/Trip Report Thread: 
http://dkn255hz262ypmii.onion/index.php?topic=147664.0

PGP Key: 
http://dkn255hz262ypmii.onion/index.php?topic=174.msg1071435#msg1071435

⭑DMT⭑ | ⭑CHANGA⭑ | ⭑ANSWERS⭑",⌬ Vendor of Wondrous DMT & Changa ⌬,N/A,N/A,83 (0.344 per day),+4/-0
mdpro,60037,bd113ba604,2013/03/25 09:00,2013/10/07 21:34,"Vendor page
http://silkroadvb5piz3r.onion/silkroad/user/bd113ba604",N/A,N/A,N/A,174 (0.883 per day),+14/-4
JackieChan,40832,N/A,2012/11/06 05:54,2013/10/01 17:00,"USA shipped LSD.
8 months vendor experience with great customer service.
**AVENGERS STAR RATED VENDOR**

Review link: dkn255hz262ypmii.onion/index.php?topic=67362
Vendor link: silkroadvb5piz3r.onion/silkroad/user/690ef83e2d",N/A,N/A,N/A,212 (0.631 per day),+75/-12
Flying Dutchman,16594,N/A,2012/04/05 19:22,2013/10/02 09:10,silkroadvb5piz3r.onion/index.php/silkroad/user/6128024690,N/A,N/A,N/A,18 (0.033 per day),+5/-0
CosmoCanyon,64841,1cbb43079e,2013/04/18 22:03,2013/10/02 19:57,http://silkroadvb5piz3r.onion/silkroad/user/1cbb43079e,N/A,N/A,N/A,68 (0.393 per day),+1/-1
nzt48givesyouwings,31015,c027ca965f,2012/08/16 22:35,N/A,http://silkroadvb5piz3r.onion/silkroad/user/c027ca965f,"""You'll be wanting a few toys""",N/A,N/A,102 (0.245 per day),+7/-3
PinnacleGoods,76731,9f07c0d335,2013/06/27 23:23,N/A,"The best good and service direct from the Pinnacle to you.

PinnacleGoods vendor page:

http://silkroadvb5piz3r.onion/silkroad/user/9f07c0d335",Pinnacle Goods Group - top goods and services,N/A,USA,145 (1.422 per day),+19/-15
basia1100,86276,33b1090476,2013/08/18 05:30,2013/10/07 18:32,"vendor profile: http://silkroadvb5piz3r.onion/silkroad/user/33b1090476
reviews: http://dkn255hz262ypmii.onion/index.php?topic=196481.0",Do what thou wilt shall be the whole of the law-AC,N/A,N/A,10 (0.196 per day),+0/-0
Synaptic,3111,N/A,2011/09/13 01:01,2012/12/23 00:35,N/A,N/A,N/A,N/A,245 (0.324 per day),+6/-31
Black Tuna Gang,20812,N/A,2012/05/16 08:58,2013/09/23 22:49,"silkroadvb5piz3r.onion/silkroad/user/ec34f98ce8
http://dkn255hz262ypmii.onion/index.php?topic=175645.0

“The best way to find out if you can trust somebody is to trust them.”
― Ernest Hemingway

“All the world is made of faith, and trust, and pixie dust.”
― J.M. Barrie, Peter Pan",N/A,N/A,N/A,261 (0.512 per day),+12/-6
BashfulBetty,2221,4283a3a09e,2011/08/14 16:19,2013/08/25 01:00,"Fine buds and tasty marijuana butter!  
 http://silkroadvb5piz3r.onion/silkroad/user/4283a3a09e",N/A,N/A,N/A,57 (0.073 per day),+2/-2
theDrugFederation,74418,N/A,2013/06/12 17:33,2013/10/04 11:35,"***☮*****☮*****☮****☮****
FIND ME ON THE BLACK MARKET RELOADED NOW !!

~theDrugFederation~~BMR Vendor Page:
http://5onwnspjvuk7cwvk.onion/index.php?p=viewUser&id=236660

--LSD Liquid & Blotters",Live the Life You Love & Love the Life You Live,N/A,Find Me on Black Market Reloaded,137 (1.161 per day),+30/-19
ChillyP,7099,8b3651db5a,2011/12/15 00:26,2012/12/13 10:00,Vendor Page: http://silkroadvb5piz3r.onion/silkroad/user/8b3651db5a,N/A,N/A,N/A,96 (0.145 per day),+5/-1
Caslava,68628,7e974b5837,2013/05/06 16:34,N/A,"Cheap Xanax API in Europe
http://silkroadvb5piz3r.onion/silkroad/user/7e974b5837",N/A,N/A,EU,73 (0.471 per day),+1/-1
Azuthus,6743,76dd586553,2011/12/08 23:06,N/A,"A link to my vendor account - 
http://silkroadvb5piz3r.onion/index.php/silkroad/user/76dd586553

Will make custom orders and price breaks for those in need and without the 
correct BTC.

My PGP Key - 
http://dkn255hz262ypmii.onion/index.php?topic=174.msg404393#msg404393","We may not be big, but we're small",N/A,N/A,3 (0.004 per day),+0/-0
SubStrips,50614,b2ddd28633,2013/01/16 05:49,2013/09/13 04:05,"----------------------------------------------------------------------
Suboxone Film Strips
My profile page
http://silkroadvb5piz3r.onion/silkroad/user/b2ddd28633",Suboxone Strips,N/A,N/A,83 (0.313 per day),+2/-1
theauconnection,76352,8d410dceaa,2013/06/25 19:17,2013/10/07 04:28,"Vendor account - http://silkroadvb5piz3r.onion/silkroad/user/8d410dceaa

Forum Review Page - http://dkn255hz262ypmii.onion/index.php?topic=178557.0",N/A,N/A,N/A,78 (0.743 per day),+2/-2
merlinshop,28573,d4db12dd7a,2012/07/29 19:21,2013/10/04 23:37,Vendor page http://silkroadvb5piz3r.onion/index.php/silkroad/user/d4db12dd7a,"SR Vendor ""Worldwide Methadone & Subutex Supplier""",N/A,N/A,24 (0.055 per day),+0/-1
DRshrooms,27505,6548abc4cc,2012/07/20 08:37,N/A,http://silkroadvb5piz3r.onion/silkroad/user/6548abc4cc,I love shrooms and DMT.,N/A,N/A,44 (0.099 per day),+3/-2
lllMMMlll,40512,8bc7799f2a,2012/11/03 20:11,2013/10/06 17:34,"http://silkroadvb5piz3r.onion/silkroad/user/8bc7799f2a

Infinity",Yoga Cat,N/A,Germany,15 (0.044 per day),+4/-2
priceisright,8125,51d3ed62c1,2012/01/02 22:23,2013/09/06 04:07,"Cocaine & MDMA in the US: 
http://silkroadvb5piz3r.onion/silkroad/user/51d3ed62c1

PGP Key: http://dkn255hz262ypmii.onion/index.php?topic=174.msg79255#msg79255",N/A,N/A,US,70 (0.109 per day),+4/-1
Save0nDrugs,43984,363e2b006b,2012/11/27 06:37,2013/10/05 21:22,http://silkroadvb5piz3r.onion/silkroad/user/363e2b006b,N/A,N/A,USA,60 (0.190 per day),+58/-5
febbraio2468,13504,N/A,2012/03/04 11:00,2013/10/06 11:23,"Reagent Tests, Coca Tea Leaves, Coca Extract

BMR Vendor Profile: 
http://5onwnspjvuk7cwvk.onion/index.php?p=viewUser&id=127049

Sheep Vendor Profile: 
http://sheep5u64fi457aw.onion/account/profile/31ad5f4e1b6d97474572bb9d9e7caa85",Viva la Revolution!!!,N/A,USA,306 (0.525 per day),+20/-15
ChemicalEnergy,57516,9eb3a04678,2013/03/05 14:59,2013/08/18 10:17,Vendor Page: http://silkroadvb5piz3r.onion/silkroad/user/9eb3a04678,N/A,N/A,N/A,0 (0 per day),+0/-0
HeartOfhumboldt,39474,cee4f612f5,2012/10/25 16:33,N/A,"Heart Of Humboldt: Purveyor of Fine Cannabis

http://silkroadvb5piz3r.onion/silkroad/user/cee4f612f5",N/A,N/A,Humboldt County of course!,52 (0.149 per day),+10/-1
NorcoCo,54961,b8f3a4df29,2013/02/14 05:03,2013/09/28 03:04,NorcoCo: http://silkroadvb5piz3r.onion/silkroad/user/b8f3a4df29,N/A,N/A,N/A,75 (0.318 per day),+6/-2
flaxceed,21274,f868ad674e,2012/05/21 08:31,2013/10/04 07:45,"I sell steroids, diet pills like clenbuterol, T3, phentermine and 
sibutramine, Kamagra oral jelly, and benzos like Valium and Xanax 
http://silkroadvb5piz3r.onion/silkroad/user/f868ad674e",N/A,N/A,N/A,562 (1.113 per day),+34/-30
PharmacyX,4412,N/A,2011/10/21 17:47,N/A,We can be contacted at pharmx@Safe-mail.net,N/A,N/A,N/A,6 (0.008 per day),+4/-0
Hashbean,28413,0edd3aede1,2012/07/28 07:03,2013/06/25 10:02,"Vendor Profile:
http://silkroadvb5piz3r.onion/index.php/silkroad/user/0edd3aede1

Review Thread:
http://dkn255hz262ypmii.onion/index.php?topic=35938.msg409985#msg409985",Weed up from the feet up,N/A,N/A,32 (0.073 per day),+11/-0
OZMarket,58594,701db001a4,2013/03/16 04:13,2013/10/05 12:03,"------------------------------------------------------

OZMarket

Vendor page - http://silkroadvb5piz3r.onion/silkroad/user/701db001a4

------------------------------------------------------",N/A,N/A,Australia,4 (0.019 per day),+0/-0
Dingo Ate My Drugs,46017,N/A,2012/12/13 06:32,2013/10/07 03:16,"Sheep: Here is me proving my verification.
It is the best way I can think of verifying who I am.

Email: dingoatemydrugs@safe-mail.net

If anyone didn't receive their order, PLEASE CONTACT ME and I will do the 
best I can to sort out a resolution. A lot of people have lost a lot of 
money.",N/A,N/A,N/A,1790 (5.987 per day),+156/-37
3Jane,244,d31e82c6ef,2011/06/19 01:37,2013/10/03 05:23,http://silkroadvb5piz3r.onion/silkroad/user/d31e82c6ef,N/A,N/A,N/A,181 (0.215 per day),+82/-2
SCIdmt,34182,d877815284,2012/09/12 04:32,N/A,"http://silkroadvb5piz3r.onion/index.php/silkroad/user/d877815284
33 dollar hash oil grams
http://silkroadvb5piz3r.onion/silkroad/item/6f6d02d6b0
Review page:
http://dkn255hz262ypmii.onion/index.php?topic=100994.0",N/A,N/A,N/A,199 (0.509 per day),+4/-2
Popeye Trading,19286,693c03ff71,2012/05/01 00:22,2013/09/27 05:59,"Seller Acccount- http://silkroadvb5piz3r.onion/silkroad/user/693c03ff71

Reviews- 
http://dkn255hz262ypmii.onion/index.php?topic=21662.msg221931#msg221931",N/A,N/A,N/A,65 (0.124 per day),+1/-1
TimAus,64598,ae5978cf60,2013/04/17 09:35,2013/08/02 23:16,"Australian vendor selling mailbox master keys and in a few weeks meth.

http://silkroadvb5piz3r.onion/silkroad/user/ae5978cf60",N/A,N/A,Australia,0 (0 per day),+0/-0
doctorxanax,20825,N/A,2012/05/16 11:57,2013/08/13 19:31,N/A,N/A,N/A,N/A,32 (0.063 per day),+4/-1
SexyWax,25466,cf92e21f81,2012/07/01 17:19,N/A,"Find me on the Silk Road IRC chat room. That's where I spend most of my 
time.


Sellers Page: http://silkroadvb5piz3r.onion/silkroad/user/cf92e21f81",Wax on. Wax ON,N/A,N/A,229 (0.494 per day),+39/-39
Amsterdope,6931,5d98118ea0,2011/12/12 12:35,2013/08/27 18:15,"To see what's on the menu, have a look at my info page:
http://silkroadvb5piz3r.onion/index.php/silkroad/user/5d98118ea0

Feel free to drop me a line on Silk Road if you have any questions.",N/A,N/A,N/A,45 (0.068 per day),+2/-1
HollandOnline,47002,b27491ec56,2012/12/21 22:06,2013/10/03 13:00,"LSD Avengers approved OK Vendor!

No sales to USA, Australia/NZ, Rep.Ireland, Norway, Sweden and Finland.
Non arriving letters makes us Very sad too....
main page HOLLANDONLINE.

http://silkroadvb5piz3r.onion/silkroad/user/b27491ec56",N/A,N/A,N/A,278 (0.955 per day),+41/-36
Shaggy Shaman,70167,N/A,2013/05/15 17:18,N/A,"Find me as Shaggy Shaman over at BMR!

Official Review Thread: 
http://dkn255hz262ypmii.onion/index.php?topic=201631.0
OLD 2048 bit PGP: 
http://dkn255hz262ypmii.onion/index.php?topic=174.msg1459170#msg1459170",Thelema: There is no law but to do thy Will.,N/A,USA,187 (1.281 per day),+23/-6
caligirl,67121,61cec7fefd,2013/04/30 16:14,N/A,"---------------

SR User Page: http://silkroadvb5piz3r.onion/silkroad/user/61cec7fefd",I wish they all could be....,N/A,Golden State,63 (0.391 per day),+2/-0
peach,4761,9a3cc9664f,2011/10/24 11:23,2013/08/24 18:43,Peach | http://silkroadvb5piz3r.onion/silkroad/user/9a3cc9664f,N/A,N/A,N/A,239 (0.334 per day),+35/-6
WhiteXpress,40380,08e53e5ac0,2012/11/02 16:26,2012/11/06 15:26,"WhiteXpress. Quality cocaine & Excellent service.
http://silkroadvb5piz3r.onion/index.php/silkroad/user/08e53e5ac0",N/A,N/A,N/A,4 (0.012 per day),+0/-0
TheBudfather,55503,f3f3e432e5,2013/02/18 05:58,2013/08/20 02:08,"TheBudFather
http://silkroadvb5piz3r.onion/silkroad/user/f3f3e432e5",N/A,N/A,N/A,0 (0 per day),+0/-0
MrReseller,8060,N/A,2012/01/01 07:45,2013/07/13 20:35,N/A,N/A,N/A,N/A,41 (0.063 per day),+1/-1
ChemdogSunrise,72324,N/A,2013/05/30 20:18,2013/09/29 02:27,On Vacation For A Bit,Namaste,N/A,Hyperspace,39 (0.298 per day),+3/-1
GunjaBabe,78153,8066d94466,2013/07/08 10:12,2013/10/07 06:32,"Visit My Store...   GunjaBabe

http://silkroadvb5piz3r.onion/silkroad/user/8066d94466",N/A,N/A,Australia,9 (0.098 per day),+0/-1
zakswan,26348,4782cbaa15,2012/07/10 18:39,2013/09/07 16:44,http://silkroadvb5piz3r.onion/silkroad/user/4782cbaa15,N/A,N/A,far side of the moon,2 (0.004 per day),+0/-0
Arcturian,57182,bfb179d2b8,2013/03/03 01:09,2013/06/12 13:07,http://silkroadvb5piz3r.onion/silkroad/user/bfb179d2b8,UK to Worldwide ✦ NBOMe ✦ Ket ✦ LSD ✦ H ✦ 4-MMC ✦,N/A,N/A,168 (0.767 per day),+14/-13
LiberPater,17853,9ad3195cf8,2012/04/18 19:29,2012/09/11 01:06,"If you are not living for pleasure, you are living for unpleasure.

http://silkroadvb5piz3r.onion/silkroad/user/9ad3195cf8",Hedonism - just do it,N/A,Brazil,154 (0.286 per day),+21/-1
TheGreenXchange,55282,ba6196d9cb,2013/02/16 01:50,2013/05/20 00:54,"Premium Cocaine - Small and Bulk Buyers Welcome

Vendor Page: http://silkroadvb5piz3r.onion/silkroad/user/ba6196d9cb

http://silkroadvb5piz3r.onion/silkroad/item/fafa38ae39   
^Stealth 1 Oz. Listing^",TGX Loves White Girls,N/A,Sosa's Compound,211 (0.902 per day),+17/-8
realdeals,82904,11897f24a2,2013/08/03 18:51,N/A,"Vendor page:
http://silkroadvb5piz3r.onion/silkroad/user/11897f24a2
Review page:
http://dkn255hz262ypmii.onion/index.php?topic=201715.msg1448941#msg1448941",N/A,N/A,N/A,397 (6.015 per day),+33/-29
Cyclone,42782,5b14cb70dc,2012/11/18 14:43,2013/10/05 13:31,SR Vendor Page: http://silkroadvb5piz3r.onion/silkroad/user/5b14cb70dc,To Oz...,N/A,USA,43 (0.133 per day),+10/-1
Sunshine_vendor,69533,66e0702d58,2013/05/11 17:11,2013/05/18 21:16,http://silkroadvb5piz3r.onion/silkroad/user/66e0702d58,Official account of the SR vendor Sunshine!,N/A,N/A,4 (0.027 per day),+0/-0
Pharmacare,22316,N/A,2012/06/01 22:11,N/A,"PAGE                                      

silkroadvb5piz3r.onion/silkroad/user/e38f382076
                              
                               REVIEW    

dkn255hz262ypmii.onion/index.php?topic=37482.0",N/A,N/A,USA,202 (0.409 per day),+2/-9
Tryptamine,161,N/A,2011/06/18 18:05,N/A,"A Parting Word. -Tryptamine

http://dkn255hz262ypmii.onion/index.php?topic=218863.0",You are what you eat what you are.,N/A,N/A,440 (0.522 per day),+40/-16
leaf,2616,78f89ee3ea,2011/08/29 06:41,N/A,"~ Purveyors of fine Hashish & Cannabis ~

  Canadian vendor, for your smoking pleasure...

~leaf  [ acct: http://silkroadvb5piz3r.onion/silkroad/user/78f89ee3ea ]",For your health!,N/A,N/A,332 (0.431 per day),+162/-13
jesusofrave,34200,53555a9222,2012/09/12 09:20,2013/10/06 19:19,"SR http://silkroadvb5piz3r.onion/index.php/silkroad/user/53555a9222

LSDAvengers Star Rated LSD 

News&Reviews http://dkn255hz262ypmii.onion/index.php?topic=46574.0",rave! UK Vendor,N/A,Jerusalem,1153 (2.949 per day),+216/-60
BajoZero,37209,86d2bc3de8,2012/10/06 21:40,2013/07/01 04:58,"“The price good men pay for indifference to public affairs is to be ruled 
by evil men.” - Plato

SR Vendor Page:
http://silkroadvb5piz3r.onion/index.php/silkroad/user/86d2bc3de8

Forums Review Thread:
http://dkn255hz262ypmii.onion/index.php?topic=48455.0",N/A,N/A,PNW ★ USA,103 (0.281 per day),+12/-3
Cloud Surfer,17234,N/A,2012/04/12 21:35,2013/10/03 06:18,"Surf the Clouds
silkroadvb5piz3r.onion/silkroad/user/a20f2324eb

Review Page:
http://dkn255hz262ypmii.onion/index.php?topic=20614.15",Surf the Clouds,N/A,N/A,460 (0.846 per day),+48/-21
do unto others,74454,c55a1e778e,2013/06/12 21:03,2013/08/17 00:27,http://silkroadvb5piz3r.onion/silkroad/user/c55a1e778e,N/A,N/A,N/A,109 (0.924 per day),+8/-1
MrCronk,42351,a8049ec639,2012/11/15 20:15,2013/10/02 20:17,"SR Vendor Page:
http://silkroadvb5piz3r.onion/silkroad/user/a8049ec639

MrCronk@tormail.org but no TM now!
2s5tloxulkn2hwe3.onion

24/7 Coffeeshop Worldwide",Cronked,N/A,Everywhere,10 (0.031 per day),+1/-1
GroovyBruce,82207,ace172728b,2013/07/31 05:18,2013/10/03 20:57,"Vendor Page:
http://silkroadvb5piz3r.onion/silkroad/user/ace172728b",Shop Smart Shop S-Mart,N/A,Beverly Hills 90210,43 (0.623 per day),+11/-5
Joy,628,632318af0c,2011/06/23 07:08,2013/09/18 07:37,"✭ Indonesia exotic products =  
http://silkroadvb5piz3r.onion/silkroad/user/632318af0c

✭ Contact us IF SR Offline: Joy@tormail.net

✭ 98% Safrole = http://xqz3u5drneuzhaeo.onion/users/qicpic/files/1l4.jpg

http://www.youtube.com/watch?v=2zNSgSzhBfM",✭ Silk Road Vendor since August 2011 ✭,N/A,Bali,558 (0.666 per day),+34/-33
